,영화명,mean_score,sqr_mean_score,abs_mean_score
78,쥬라기 월드: 폴른 킹덤,-0.8090099805620976,4.682811284910132,1.1922921636426196
79,쥬만지: 새로운 세계,0.3569313521571869,11.973997502322732,1.7660181616662733
80,지금 만나러 갑니다,2.4043711617139394,35.75750162312818,2.793456543630362
81,창궐,2.2487870148907203,32.99962855351722,2.6454172887547425
82,청년경찰,2.713494006652692,42.08619117976726,3.073228766493522
83,캐리비안의 해적: 죽은 자는 말이 없다,0.012782555472244059,12.667370994185614,2.2587221170035443
84,코코,2.2345997191414484,31.70777700871679,2.6674541153886313
85,콩: 스컬 아일랜드,-0.7547129581690272,7.926042956429429,1.4144454453176347
86,킬러의 보디가드,2.672642811240902,41.16061225974597,3.036930151320954
87,킹스맨: 골든 서클,1.7797693062899245,24.808997323118334,2.029133457436168
